"","unit","playerCount","task","complexity","default_duration","stageId","data.playerIds","score","duration","efficiency"
"1876","3","6","Divergent Association","High",3,"pKYxrtsckBKgvAPEt","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",88.9278684180067,3.01325,29.5122769162886
"1877","3","6","Divergent Association","Medium",3,"iKspk42vmBFHdioCf","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",89.0679898083765,3.02066666666667,29.486202761546
"1878","3","6","Divergent Association","Low",3,"YfDC4KAvwizijAEvp","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",86.4024864818479,3.022,28.5911603182819
"1879","3","6","Sudoku","High",5,"QKh5FvPJNnYqfKGFW","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",42,5.05585,8.30720848126428
"1880","3","6","Sudoku","Low",5,"ZmTmgmBC6zWhRshma","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",100,1.55,64.5161290322581
"1881","3","6","Sudoku","Medium",5,"EJq225YanZ2DwPNgS","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",51.25,5.02581666666667,10.1973476947362
"1882","3","6","Guess the Correlation","High",2,"uKSynnnpn5Wo4zhzT","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",100,2.02371666666667,49.414031937936
"1883","3","6","Guess the Correlation","Medium",2,"2LxSc7GH767GRN5TF","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",53,2.01316666666667,26.3266826724067
"1884","3","6","Guess the Correlation","Low",2,"NnMo5NKsaYC4fpfnZ","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",100,2.01058333333333,49.736809383678
"1885","3","6","Allocating Resources","Medium",3,"L4MhG9vj6p9oWAgyn","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",80,3.04671666666667,26.2577747629962
"1886","3","6","Allocating Resources","High",3,"xPsNtECACpRwg3Tjq","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",0,3.03891666666667,0
"1887","3","6","Allocating Resources","Low",3,"K3LbPYv5Yw5Q24oTP","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",80,3.04161666666667,26.3018022214064
"1888","3","6","Word Construction","Medium",3,"W7p6Ws8wmQB2cWDGe","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",71.4285714285714,3.01943333333333,23.6562836609203
"1889","3","6","Word Construction","Low",3,"vmivSQi7AdQ3usmHk","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",64.8148148148148,3.01446666666667,21.5012544446164
"1890","3","6","Word Construction","High",3,"kGap3oxiqj89TH83b","BhumNbsMBafLi7Ct6,Cgpfm7rdxfS3hBjir,CpX4mzCYpCKuS9gDv,JCTiYSnJvHHaTM6wx,wn4T577QzpxpQjY2R,xqud5BPmhfgPQ9Skz",50,3.02511666666667,16.5282881651947
"1891","3","3","Divergent Association","High",3,"5m2tHk7MQkysdRKok","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",89.3167465659994,1.71666666666667,52.0291727568929
"1892","3","3","Divergent Association","Medium",3,"GyD2dBrmE6JyL3kBL","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",90.139619765026,2.61666666666667,34.4482623305832
"1893","3","3","Divergent Association","Low",3,"SDXXRBy9dTPMYFoes","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",90.2156592813316,1.56666666666667,57.5844633710627
"1894","3","3","Sudoku","High",5,"Guy4T3EKyeuGdH5r5","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",53,5.02356666666667,10.5502730463748
"1895","3","3","Sudoku","Low",5,"GSZnPsbJAwRgHHCPN","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",100,2.05,48.780487804878
"1896","3","3","Sudoku","Medium",5,"AD5nTyxukvvLBDeKk","3YkAFLRMiwBDnKX33,Tx28hm6reDwkLpN8v,z6zEDiJ9TjbXeBJ8D",51.25,5.0138,10.2217878654912
